10/28/10 10:34 PM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	
Total:           	    3667	44722	                     248550	                       288121	
Remaining:       	    2955	37567	                     207142	                       240672	
Unique:          	    3535	43429	                     239535	                       278283	
Unique Remaining:	    2882	36516	                     199483	                       232376	


Individual File Statistics:

File Name    	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
builders.po  	           120	                 2	            120	                        2	       1445	             35	        1445	                    35	                             8007	                                  282	                              8007	                                         282	                               9270	                                    298	                                9270	                                           298	
changes.po   	           627	               613	            625	                      611	       7072	           6983	        7034	                  6945	                            40860	                                40325	                             40555	                                       40020	                              47250	                                  46642	                               46926	                                         46318	
config.po    	           416	                13	            375	                       11	       4763	            184	        4503	                   145	                            25756	                                 1089	                             24273	                                         780	                              30037	                                   1248	                               28349	                                           919	
contents.po  	             7	                 7	              6	                        6	         48	             48	          14	                    14	                              381	                                  381	                               101	                                         101	                                401	                                    401	                                 105	                                           105	
domains.po   	           217	               213	            208	                      208	       2726	           2722	        2674	                  2674	                            14821	                                14785	                             14435	                                       14435	                              17243	                                  17207	                               16832	                                         16832	
examples.po  	           128	                 1	            127	                        0	        684	             34	         650	                     0	                             6087	                                  280	                              5807	                                           0	                               6341	                                    296	                                6045	                                             0	
ext.po       	           753	               750	            736	                      736	      10362	          10359	       10250	                 10250	                            55774	                                55747	                             55079	                                       55079	                              65178	                                  65151	                               64404	                                         64404	
extensions.po	            23	                23	             22	                       22	        362	            362	         328	                   328	                             2090	                                 2090	                              1810	                                        1810	                               2405	                                   2405	                                2109	                                          2109	
faq.po       	            81	                81	             79	                       79	        986	            986	         950	                   950	                             5442	                                 5442	                              5150	                                        5150	                               6299	                                   6299	                                5990	                                          5990	
glossary.po  	            30	                30	             25	                       25	        467	            467	         346	                   346	                             2742	                                 2742	                              2012	                                        2012	                               3138	                                   3138	                                2314	                                          2314	
intl.po      	            30	                 2	             28	                        1	        428	             45	         393	                    11	                             2687	                                  331	                              2398	                                          51	                               3053	                                    357	                                2748	                                            61	
intro.po     	            23	                23	             22	                       22	        394	            394	         360	                   360	                             2254	                                 2254	                              1974	                                        1974	                               2589	                                   2589	                                2293	                                          2293	
invocation.po	            61	                61	             60	                       60	        703	            703	         669	                   669	                             3861	                                 3861	                              3581	                                        3581	                               4463	                                   4463	                                4167	                                          4167	
man.po       	            72	                72	             69	                       69	        468	            468	         425	                   425	                             2807	                                 2807	                              2480	                                        2480	                               3164	                                   3164	                                2814	                                          2814	
markup.po    	           353	               343	            330	                      330	       4924	           4913	        4765	                  4765	                            26283	                                26191	                             25241	                                       25241	                              30744	                                  30651	                               29579	                                         29579	
rest.po      	           165	               164	            158	                      158	       1944	           1943	        1899	                  1899	                            11178	                                11169	                             10828	                                       10828	                              12867	                                  12858	                               12496	                                         12496	
templating.po	           121	               121	            120	                      120	       1670	           1670	        1636	                  1636	                             8798	                                 8798	                              8518	                                        8518	                              10304	                                  10304	                               10008	                                         10008	
theming.po   	           139	               139	            131	                      131	       1492	           1492	        1429	                  1429	                             8535	                                 8535	                              8077	                                        8077	                               9852	                                   9852	                                9356	                                          9356	
tutorial.po  	           102	               101	             97	                       97	       1408	           1407	        1351	                  1351	                             7525	                                 7516	                              7107	                                        7107	                               8768	                                   8759	                                8315	                                          8315	
web.po       	           195	               195	            194	                      194	       2318	           2318	        2284	                  2284	                            12237	                                12237	                             11957	                                       11957	                              14294	                                  14294	                               13998	                                         13998	
websupport.po	             4	                 1	              3	                        0	         58	             34	          24	                     0	                              425	                                  280	                               145	                                           0	                                461	                                    296	                                 165	                                             0	
